:==============================================================================:
| This file contains a transactional data dump of students entering and leaving|
| at the University Road drop-off gate. That is, the entrance closest to the   |
| Engineering buildings. There are three turnstiles. The first is North,       |
| denoted with 'N', and is closest to the Mineral Sciences Building. The second|
| is in the centre, denoted with 'C', and closest to the Mining Engineering    |
| Study Centre. The third is South, denoted by 'S', and is closest to the      |
| Engineering 2 Building.                                                      |
|                                                                              |
| The time stamp indicates the date and time as day/month/year HH:MM:SS. There |
| is a variable indicating whether this is an 'entry' into the campus or an    |
| 'exit' leaving the campus. The 'success' variable indicates a 'true' if the  |
| transaction was completed with only one tap of the student card, and 'false' |
| if two or more taps were required.                                           |
|                                                                              |
| The final variable indicates the system's estimate for the entry or exit     |
| transaction duration (in seconds). That is the time from when a student's    |
| card is first tapped until the turnstile is activated and locked again behind|
| the student.                                                                 |
:==============================================================================:
|         Date         |   Type   |   Turnstile  |   Success  |  Duration (s)  |
| 24/02/2020 07:24:26  |   entry  |            C |       true |          7.95  |
| 24/02/2020 07:24:40  |   entry  |            S |       true |          3.62  |
| 24/02/2020 07:24:49  |    exit  |            N |       true |          5.64  |
| 24/02/2020 07:25:11  |   entry  |            C |       true |          6.64  |
| 24/02/2020 07:26:07  |   entry  |            N |       true |          5.18  |
| 24/02/2020 07:27:03  |   entry  |            C |       true |           6.9  |
| 24/02/2020 07:27:49  |   entry  |            C |       true |          4.41  |
| 24/02/2020 07:28:36  |   entry  |            S |       true |          8.21  |
| 24/02/2020 07:29:35  |   entry  |            C |       true |          6.48  |
| 24/02/2020 07:29:49  |   entry  |            N |      false |          6.62  |
| 24/02/2020 07:30:17  |   entry  |            N |       true |          7.67  |
| 24/02/2020 07:32:13  |   entry  |            N |       true |          5.66  |
| 24/02/2020 07:32:49  |   entry  |            C |       true |          8.12  |
| 24/02/2020 07:33:25  |   entry  |            S |       true |           6.8  |
| 24/02/2020 07:38:19  |   entry  |            N |       true |          7.85  |
| 24/02/2020 07:38:33  |   entry  |            C |       true |           5.6  |
| 24/02/2020 07:38:54  |   entry  |            C |       true |          3.87  |
| 24/02/2020 07:39:02  |   entry  |            S |       true |          7.31  |
| 24/02/2020 07:39:22  |   entry  |            S |       true |          6.86  |
| 24/02/2020 07:40:04  |   entry  |            S |       true |          7.98  |
| 24/02/2020 07:40:11  |   entry  |            S |       true |          5.71  |
| 24/02/2020 07:41:15  |   entry  |            S |       true |          6.82  |
| 24/02/2020 07:41:53  |   entry  |            C |       true |           8.4  |
| 24/02/2020 07:41:56  |   entry  |            N |       true |          6.82  |
| 24/02/2020 07:42:25  |   entry  |            C |       true |          6.48  |
| 24/02/2020 07:43:37  |   entry  |            N |       true |           8.2  |
| 24/02/2020 07:45:09  |   entry  |            N |       true |          5.31  |
| 24/02/2020 07:47:12  |   entry  |            S |       true |          5.35  |
| 24/02/2020 07:47:34  |   entry  |            C |       true |           4.5  |
| 24/02/2020 07:49:49  |   entry  |            C |       true |          8.49  |
| 24/02/2020 07:50:19  |   entry  |            C |       true |          6.78  |
| 24/02/2020 07:51:09  |   entry  |            C |       true |           6.7  |
| 24/02/2020 07:52:48  |   entry  |            C |       true |          5.24  |
| 24/02/2020 07:53:35  |   entry  |            C |       true |          5.82  |
| 24/02/2020 07:54:56  |   entry  |            S |       true |          4.39  |
| 24/02/2020 07:55:09  |   entry  |            N |       true |          3.86  |
| 24/02/2020 07:55:52  |   entry  |            C |       true |          3.88  |
| 24/02/2020 07:56:58  |   entry  |            C |       true |          4.02  |
| 24/02/2020 07:57:12  |   entry  |            C |       true |          6.69  |
| 24/02/2020 07:58:16  |   entry  |            C |       true |          3.89  |
| 24/02/2020 07:58:29  |   entry  |            C |       true |          3.91  |
| 24/02/2020 08:00:27  |   entry  |            S |       true |          6.67  |
| 24/02/2020 08:01:60  |   entry  |            S |      false |          7.47  |
| 24/02/2020 08:02:08  |   entry  |            C |       true |           4.2  |
| 24/02/2020 08:02:34  |   entry  |            C |       true |          7.79  |
| 24/02/2020 08:03:36  |   entry  |            C |       true |          4.72  |
| 24/02/2020 08:04:18  |   entry  |            S |       true |          6.87  |
| 24/02/2020 08:04:34  |    exit  |            C |       true |          3.73  |
| 24/02/2020 08:04:52  |   entry  |            C |       true |          5.36  |
| 24/02/2020 08:05:16  |   entry  |            C |       true |          7.08  |
| 24/02/2020 08:05:25  |    exit  |            S |       true |          6.93  |
| 24/02/2020 08:06:55  |   entry  |            C |       true |          5.13  |
| 24/02/2020 08:09:06  |   entry  |            C |       true |          3.97  |
| 24/02/2020 08:11:39  |   entry  |            N |       true |          6.12  |
| 24/02/2020 08:11:53  |   entry  |            C |       true |          3.89  |
| 24/02/2020 08:12:18  |   entry  |            C |       true |          3.61  |
| 24/02/2020 08:14:07  |   entry  |            C |      false |          5.87  |
| 24/02/2020 08:14:18  |   entry  |            C |       true |          6.63  |
| 24/02/2020 08:14:29  |   entry  |            S |       true |          7.66  |
| 24/02/2020 08:14:31  |   entry  |            N |       true |             4  |
| 24/02/2020 08:15:12  |   entry  |            C |       true |          8.29  |
| 24/02/2020 08:15:50  |   entry  |            C |       true |          4.16  |
| 24/02/2020 08:16:45  |   entry  |            C |       true |          5.96  |
| 24/02/2020 08:17:50  |   entry  |            C |       true |          6.71  |
| 24/02/2020 08:18:26  |   entry  |            C |       true |          3.64  |
| 24/02/2020 08:18:52  |    exit  |            C |       true |          6.02  |
| 24/02/2020 08:18:58  |   entry  |            C |       true |          8.48  |
| 24/02/2020 08:19:07  |   entry  |            N |       true |          5.65  |
| 24/02/2020 08:19:11  |   entry  |            S |       true |          7.92  |
| 24/02/2020 08:19:27  |   entry  |            N |       true |          4.15  |
| 24/02/2020 08:20:40  |   entry  |            S |       true |          7.57  |
| 24/02/2020 08:21:12  |   entry  |            C |       true |          3.54  |
| 24/02/2020 08:22:06  |   entry  |            C |       true |          6.04  |
| 24/02/2020 08:23:07  |   entry  |            N |       true |          6.41  |
| 24/02/2020 08:24:30  |   entry  |            S |       true |          8.36  |
| 24/02/2020 08:25:03  |   entry  |            C |       true |          6.68  |
| 24/02/2020 08:25:19  |    exit  |            C |       true |          4.49  |
| 24/02/2020 08:26:23  |   entry  |            C |       true |          7.88  |
| 24/02/2020 08:27:08  |   entry  |            N |       true |          4.91  |
| 24/02/2020 08:27:16  |   entry  |            N |       true |          6.43  |
| 24/02/2020 08:28:48  |   entry  |            S |       true |          6.49  |
| 24/02/2020 08:29:07  |   entry  |            C |       true |          7.09  |
| 24/02/2020 08:29:34  |   entry  |            C |       true |          5.56  |
| 24/02/2020 08:31:47  |   entry  |            C |       true |          7.87  |
| 24/02/2020 08:31:52  |   entry  |            S |       true |          3.98  |
| 24/02/2020 08:33:01  |   entry  |            C |       true |          5.99  |
| 24/02/2020 08:33:56  |   entry  |            C |       true |          5.13  |
| 24/02/2020 08:33:59  |   entry  |            C |       true |          6.74  |
| 24/02/2020 08:35:43  |    exit  |            N |       true |          6.09  |
| 24/02/2020 08:35:47  |   entry  |            S |       true |          5.92  |
| 24/02/2020 08:36:16  |   entry  |            N |       true |          5.56  |
| 24/02/2020 08:36:25  |   entry  |            S |       true |          5.27  |
| 24/02/2020 08:36:40  |   entry  |            S |       true |          4.93  |
| 24/02/2020 08:36:51  |   entry  |            C |       true |          3.58  |
| 24/02/2020 08:38:30  |   entry  |            S |       true |           6.3  |
| 24/02/2020 08:38:36  |   entry  |            C |       true |          6.67  |
| 24/02/2020 08:38:56  |   entry  |            C |       true |          4.12  |
| 24/02/2020 08:38:58  |   entry  |            S |       true |          8.27  |
| 24/02/2020 08:40:04  |   entry  |            C |       true |          7.12  |
| 24/02/2020 08:40:08  |   entry  |            S |       true |          5.65  |
| 24/02/2020 08:40:34  |   entry  |            C |       true |          7.97  |
| 24/02/2020 08:41:40  |    exit  |            N |       true |           8.1  |
| 24/02/2020 08:43:34  |    exit  |            S |       true |          6.06  |
| 24/02/2020 08:44:13  |   entry  |            C |       true |          5.66  |
| 24/02/2020 08:44:58  |   entry  |            C |       true |          6.31  |
| 24/02/2020 08:45:11  |   entry  |            S |       true |          6.28  |
| 24/02/2020 08:47:24  |   entry  |            C |       true |          7.23  |
| 24/02/2020 08:47:55  |   entry  |            S |       true |          8.37  |
| 24/02/2020 08:49:15  |   entry  |            C |       true |          4.44  |
| 24/02/2020 08:49:19  |   entry  |            S |       true |          3.99  |
| 24/02/2020 08:51:09  |    exit  |            C |      false |             6  |
| 24/02/2020 08:53:06  |   entry  |            C |       true |          6.76  |
| 24/02/2020 08:53:29  |    exit  |            S |       true |          7.59  |
| 24/02/2020 08:54:12  |   entry  |            C |       true |          4.88  |
| 24/02/2020 08:54:24  |   entry  |            C |       true |          5.38  |
| 24/02/2020 08:54:56  |   entry  |            C |       true |          3.82  |
| 24/02/2020 08:55:09  |   entry  |            S |       true |          6.66  |
| 24/02/2020 08:55:10  |   entry  |            C |       true |          6.46  |
| 24/02/2020 08:55:25  |   entry  |            C |       true |          4.86  |
| 24/02/2020 08:55:40  |   entry  |            C |       true |          7.49  |
| 24/02/2020 08:56:51  |   entry  |            S |       true |          5.78  |
| 24/02/2020 08:56:60  |    exit  |            S |       true |          5.54  |
| 24/02/2020 08:57:18  |   entry  |            N |       true |          3.68  |
| 24/02/2020 08:57:19  |   entry  |            N |       true |          4.71  |
| 24/02/2020 08:58:18  |   entry  |            C |       true |          6.01  |
| 24/02/2020 08:58:34  |   entry  |            N |       true |          8.12  |
| 24/02/2020 08:58:52  |   entry  |            C |       true |          7.31  |
| 24/02/2020 08:59:20  |   entry  |            S |       true |          3.88  |
| 24/02/2020 08:59:33  |    exit  |            N |       true |          8.01  |
| 24/02/2020 09:00:33  |    exit  |            S |      false |          5.44  |
| 24/02/2020 09:00:39  |    exit  |            C |       true |          7.19  |
| 24/02/2020 09:00:40  |   entry  |            S |       true |          4.15  |
| 24/02/2020 09:01:00  |   entry  |            N |       true |          4.54  |
| 24/02/2020 09:02:22  |   entry  |            S |       true |           5.5  |
| 24/02/2020 09:04:01  |   entry  |            S |       true |          3.69  |
| 24/02/2020 09:04:34  |   entry  |            C |       true |          4.36  |
| 24/02/2020 09:04:50  |   entry  |            C |       true |          6.58  |
| 24/02/2020 09:08:55  |   entry  |            N |       true |          6.98  |
| 24/02/2020 09:09:15  |   entry  |            S |       true |          4.36  |
| 24/02/2020 09:10:05  |   entry  |            N |       true |          6.62  |
| 24/02/2020 09:11:44  |   entry  |            C |       true |          4.88  |
| 24/02/2020 09:15:24  |   entry  |            C |       true |          8.22  |
| 24/02/2020 09:15:58  |    exit  |            C |       true |          6.65  |
| 24/02/2020 09:16:47  |   entry  |            C |       true |          5.29  |
| 24/02/2020 09:17:38  |   entry  |            S |       true |          4.54  |
| 24/02/2020 09:17:55  |    exit  |            N |       true |          7.71  |
| 24/02/2020 09:17:59  |    exit  |            C |       true |          5.51  |
| 24/02/2020 09:18:05  |   entry  |            N |       true |          8.25  |
| 24/02/2020 09:18:06  |   entry  |            C |       true |          7.97  |
| 24/02/2020 09:18:15  |   entry  |            C |       true |           8.2  |
| 24/02/2020 09:19:53  |   entry  |            N |       true |          5.58  |
| 24/02/2020 09:20:07  |   entry  |            S |       true |          7.05  |
| 24/02/2020 09:20:16  |   entry  |            S |       true |          3.87  |
| 24/02/2020 09:20:42  |   entry  |            N |       true |          5.48  |
| 24/02/2020 09:24:34  |   entry  |            S |       true |          4.29  |
| 24/02/2020 09:24:43  |   entry  |            N |       true |          7.27  |
| 24/02/2020 09:24:51  |   entry  |            S |       true |          5.94  |
| 24/02/2020 09:25:32  |   entry  |            C |       true |          5.99  |
| 24/02/2020 09:26:14  |    exit  |            S |       true |          6.41  |
| 24/02/2020 09:26:24  |    exit  |            C |       true |          7.55  |
| 24/02/2020 09:26:41  |   entry  |            C |       true |          5.95  |
| 24/02/2020 09:26:55  |   entry  |            S |       true |          4.62  |
| 24/02/2020 09:28:11  |   entry  |            S |       true |          8.46  |
| 24/02/2020 09:28:20  |   entry  |            C |       true |          7.54  |
| 24/02/2020 09:28:37  |   entry  |            S |       true |           8.1  |
| 24/02/2020 09:28:49  |   entry  |            C |       true |          7.05  |
| 24/02/2020 09:29:12  |   entry  |            S |       true |          6.63  |
| 24/02/2020 09:30:29  |    exit  |            C |      false |          5.07  |
| 24/02/2020 09:30:30  |    exit  |            N |       true |          8.18  |
| 24/02/2020 09:30:50  |   entry  |            C |       true |          5.47  |
| 24/02/2020 09:32:17  |   entry  |            C |       true |          8.55  |
| 24/02/2020 09:33:16  |    exit  |            C |      false |          6.08  |
| 24/02/2020 09:33:29  |   entry  |            S |       true |          4.49  |
| 24/02/2020 09:33:46  |   entry  |            C |       true |          7.56  |
| 24/02/2020 09:34:15  |   entry  |            S |       true |          8.42  |
| 24/02/2020 09:36:19  |   entry  |            C |       true |          8.05  |
| 24/02/2020 09:37:57  |   entry  |            S |       true |          3.59  |
| 24/02/2020 09:38:20  |   entry  |            C |       true |          5.59  |
| 24/02/2020 09:40:17  |   entry  |            C |       true |          6.64  |
| 24/02/2020 09:41:15  |    exit  |            C |       true |          6.18  |
| 24/02/2020 09:41:34  |   entry  |            C |       true |          4.89  |
| 24/02/2020 09:41:38  |   entry  |            C |       true |          3.85  |
| 24/02/2020 09:42:16  |   entry  |            C |       true |          8.42  |
| 24/02/2020 09:43:48  |   entry  |            C |       true |          4.39  |
| 24/02/2020 09:43:54  |   entry  |            C |       true |          6.89  |
| 24/02/2020 09:43:54  |    exit  |            C |       true |          8.31  |
| 24/02/2020 09:44:24  |   entry  |            S |       true |          7.26  |
| 24/02/2020 09:45:09  |   entry  |            C |       true |          6.49  |
| 24/02/2020 09:45:44  |   entry  |            C |       true |          4.88  |
| 24/02/2020 09:46:43  |   entry  |            C |       true |          4.84  |
| 24/02/2020 09:46:58  |    exit  |            C |       true |          6.86  |
| 24/02/2020 09:53:53  |   entry  |            N |       true |          8.26  |
| 24/02/2020 09:55:55  |   entry  |            S |       true |          3.63  |
| 24/02/2020 09:56:58  |   entry  |            S |       true |          5.73  |
| 24/02/2020 09:57:59  |    exit  |            C |       true |          6.45  |
| 24/02/2020 09:58:15  |    exit  |            S |       true |          5.92  |
| 24/02/2020 09:58:37  |   entry  |            C |       true |          3.66  |
| 24/02/2020 10:00:37  |   entry  |            S |       true |          3.94  |
| 24/02/2020 10:00:55  |   entry  |            S |       true |          6.25  |
| 24/02/2020 10:00:59  |   entry  |            C |       true |          7.65  |
| 24/02/2020 10:01:30  |   entry  |            S |       true |          7.03  |
| 24/02/2020 10:01:47  |    exit  |            S |      false |          7.23  |
| 24/02/2020 10:01:51  |    exit  |            C |      false |          3.83  |
| 24/02/2020 10:02:16  |   entry  |            C |       true |          7.27  |
| 24/02/2020 10:02:41  |   entry  |            C |       true |          4.32  |
| 24/02/2020 10:02:49  |   entry  |            C |       true |          4.05  |
| 24/02/2020 10:05:27  |   entry  |            C |       true |          6.41  |
| 24/02/2020 10:05:50  |    exit  |            S |       true |          7.95  |
| 24/02/2020 10:05:57  |   entry  |            S |       true |          4.59  |
| 24/02/2020 10:08:29  |    exit  |            S |       true |          7.63  |
| 24/02/2020 10:08:35  |   entry  |            S |       true |          3.62  |
| 24/02/2020 10:09:04  |    exit  |            S |       true |          6.92  |
| 24/02/2020 10:09:12  |    exit  |            S |       true |          4.43  |
| 24/02/2020 10:10:27  |   entry  |            C |       true |          8.51  |
| 24/02/2020 10:12:50  |   entry  |            S |       true |          3.73  |
| 24/02/2020 10:13:02  |   entry  |            C |       true |          5.29  |
| 24/02/2020 10:13:03  |    exit  |            C |       true |          7.49  |
| 24/02/2020 10:13:39  |   entry  |            S |       true |          8.17  |
| 24/02/2020 10:14:16  |    exit  |            C |       true |          5.67  |
| 24/02/2020 10:15:04  |   entry  |            S |       true |          4.82  |
| 24/02/2020 10:15:09  |    exit  |            C |       true |          8.52  |
| 24/02/2020 10:15:17  |    exit  |            S |       true |          4.33  |
| 24/02/2020 10:15:40  |   entry  |            S |       true |          6.61  |
| 24/02/2020 10:17:02  |    exit  |            N |       true |          6.36  |
| 24/02/2020 10:17:13  |    exit  |            N |       true |          6.99  |
| 24/02/2020 10:18:37  |   entry  |            C |       true |          8.48  |
| 24/02/2020 10:18:52  |   entry  |            S |       true |          6.29  |
| 24/02/2020 10:19:15  |   entry  |            S |       true |          5.65  |
| 24/02/2020 10:19:23  |   entry  |            S |       true |          4.01  |
| 24/02/2020 10:19:23  |    exit  |            C |       true |          6.37  |
| 24/02/2020 10:19:54  |   entry  |            C |      false |          7.77  |
| 24/02/2020 10:20:31  |   entry  |            S |       true |          4.43  |
| 24/02/2020 10:20:60  |   entry  |            N |       true |          3.67  |
| 24/02/2020 10:22:14  |   entry  |            C |       true |          6.02  |
| 24/02/2020 10:27:51  |    exit  |            C |       true |           7.8  |
| 24/02/2020 10:28:36  |   entry  |            C |       true |          6.03  |
| 24/02/2020 10:28:36  |    exit  |            N |       true |          7.89  |
| 24/02/2020 10:30:25  |    exit  |            C |       true |          7.94  |
| 24/02/2020 10:30:26  |   entry  |            N |       true |          5.95  |
| 24/02/2020 10:30:45  |    exit  |            S |       true |          6.72  |
| 24/02/2020 10:31:09  |   entry  |            C |       true |          7.61  |
| 24/02/2020 10:31:14  |    exit  |            C |       true |          6.06  |
| 24/02/2020 10:31:15  |    exit  |            C |       true |          4.62  |
| 24/02/2020 10:34:28  |    exit  |            C |       true |          7.06  |
| 24/02/2020 10:34:51  |   entry  |            C |       true |          4.08  |
| 24/02/2020 10:36:29  |    exit  |            N |       true |          6.25  |
| 24/02/2020 10:36:55  |    exit  |            C |       true |          4.15  |
| 24/02/2020 10:37:59  |   entry  |            S |       true |          6.88  |
| 24/02/2020 10:38:17  |    exit  |            S |       true |          5.86  |
| 24/02/2020 10:39:13  |    exit  |            S |       true |          8.02  |
| 24/02/2020 10:42:14  |    exit  |            C |       true |           4.7  |
| 24/02/2020 10:42:37  |   entry  |            C |       true |          4.89  |
| 24/02/2020 10:43:06  |   entry  |            S |       true |          6.76  |
| 24/02/2020 10:43:30  |   entry  |            C |       true |          4.41  |
| 24/02/2020 10:45:08  |   entry  |            C |       true |          3.52  |
| 24/02/2020 10:45:34  |    exit  |            C |       true |          5.49  |
| 24/02/2020 10:46:26  |   entry  |            S |       true |          6.04  |
| 24/02/2020 10:46:44  |   entry  |            S |       true |          5.77  |
| 24/02/2020 10:46:46  |   entry  |            C |       true |          5.08  |
| 24/02/2020 10:46:55  |   entry  |            C |       true |          8.46  |
| 24/02/2020 10:47:14  |    exit  |            S |       true |          4.98  |
| 24/02/2020 10:48:14  |   entry  |            C |       true |           8.1  |
| 24/02/2020 10:49:48  |   entry  |            C |       true |          4.37  |
| 24/02/2020 10:50:30  |    exit  |            S |       true |          4.66  |
| 24/02/2020 10:50:58  |   entry  |            N |       true |           3.6  |
| 24/02/2020 10:51:45  |    exit  |            S |       true |          6.81  |
| 24/02/2020 10:53:38  |    exit  |            S |       true |          7.59  |
| 24/02/2020 10:53:40  |   entry  |            S |       true |          8.53  |
| 24/02/2020 10:53:59  |    exit  |            C |       true |          3.85  |
| 24/02/2020 10:55:28  |    exit  |            C |       true |          4.49  |
| 24/02/2020 10:55:45  |   entry  |            C |       true |          4.28  |
| 24/02/2020 10:56:54  |    exit  |            C |       true |          7.67  |
| 24/02/2020 10:57:45  |   entry  |            C |       true |           6.4  |
| 24/02/2020 10:58:39  |   entry  |            C |       true |          7.57  |
| 24/02/2020 10:59:14  |    exit  |            C |       true |          4.17  |
| 24/02/2020 10:59:22  |    exit  |            N |       true |          6.18  |
| 24/02/2020 10:59:37  |   entry  |            S |       true |          5.15  |
| 24/02/2020 10:59:50  |    exit  |            S |       true |           4.5  |
| 24/02/2020 11:00:10  |   entry  |            S |       true |          5.17  |
| 24/02/2020 11:00:20  |   entry  |            C |       true |          6.27  |
| 24/02/2020 11:04:07  |   entry  |            N |       true |          4.92  |
| 24/02/2020 11:04:52  |   entry  |            S |       true |          8.29  |
| 24/02/2020 11:05:32  |    exit  |            N |       true |          5.49  |
| 24/02/2020 11:06:04  |   entry  |            S |       true |          6.63  |
| 24/02/2020 11:06:11  |    exit  |            N |       true |          3.63  |
| 24/02/2020 11:07:01  |    exit  |            C |      false |          5.88  |
| 24/02/2020 11:07:42  |    exit  |            C |       true |          4.07  |
| 24/02/2020 11:07:55  |   entry  |            C |       true |           4.4  |
| 24/02/2020 11:08:06  |    exit  |            S |       true |             6  |
| 24/02/2020 11:08:50  |   entry  |            N |       true |          5.61  |
| 24/02/2020 11:10:08  |   entry  |            C |       true |          8.52  |
| 24/02/2020 11:10:60  |    exit  |            N |       true |           4.6  |
| 24/02/2020 11:12:21  |   entry  |            N |       true |          6.58  |
| 24/02/2020 11:13:34  |    exit  |            N |       true |          6.04  |
| 24/02/2020 11:14:29  |    exit  |            C |       true |          3.69  |
| 24/02/2020 11:17:16  |    exit  |            S |      false |           5.1  |
| 24/02/2020 11:18:46  |    exit  |            S |       true |          6.58  |
| 24/02/2020 11:21:34  |    exit  |            N |       true |          8.09  |
| 24/02/2020 11:22:04  |   entry  |            S |       true |          5.16  |
| 24/02/2020 11:22:30  |   entry  |            C |       true |          7.76  |
| 24/02/2020 11:24:16  |   entry  |            S |       true |          6.15  |
| 24/02/2020 11:24:30  |    exit  |            C |       true |          7.32  |
| 24/02/2020 11:24:54  |    exit  |            C |       true |          7.77  |
| 24/02/2020 11:26:31  |    exit  |            S |      false |          5.67  |
| 24/02/2020 11:26:42  |    exit  |            S |       true |          7.26  |
| 24/02/2020 11:27:51  |    exit  |            C |       true |          7.01  |
| 24/02/2020 11:28:36  |    exit  |            N |       true |          5.45  |
| 24/02/2020 11:29:46  |   entry  |            N |       true |          4.23  |
| 24/02/2020 11:30:02  |    exit  |            C |       true |           6.7  |
| 24/02/2020 11:30:08  |    exit  |            C |       true |          3.68  |
| 24/02/2020 11:31:47  |    exit  |            C |       true |          7.72  |
| 24/02/2020 11:32:60  |    exit  |            S |       true |          5.21  |
| 24/02/2020 11:33:26  |   entry  |            N |       true |          5.26  |
| 24/02/2020 11:33:39  |    exit  |            C |       true |          5.77  |
| 24/02/2020 11:35:26  |   entry  |            S |       true |          3.96  |
| 24/02/2020 11:36:27  |    exit  |            C |       true |          8.01  |
| 24/02/2020 11:36:33  |    exit  |            S |       true |          3.85  |
| 24/02/2020 11:37:24  |    exit  |            S |       true |          5.91  |
| 24/02/2020 11:37:27  |    exit  |            N |       true |          8.36  |
| 24/02/2020 11:38:56  |   entry  |            C |       true |          3.87  |
| 24/02/2020 11:42:11  |    exit  |            S |       true |          3.57  |
| 24/02/2020 11:45:15  |    exit  |            N |       true |          4.57  |
| 24/02/2020 11:46:10  |    exit  |            C |       true |          7.18  |
| 24/02/2020 11:46:21  |    exit  |            N |       true |          3.92  |
| 24/02/2020 11:46:54  |    exit  |            C |       true |          7.33  |
| 24/02/2020 11:47:57  |    exit  |            C |       true |          8.12  |
| 24/02/2020 11:48:31  |    exit  |            C |       true |          4.72  |
| 24/02/2020 11:49:30  |   entry  |            N |       true |          5.22  |
| 24/02/2020 11:49:54  |    exit  |            C |       true |          4.55  |
| 24/02/2020 11:50:13  |    exit  |            C |       true |          8.17  |
| 24/02/2020 11:52:07  |    exit  |            C |       true |          7.18  |
| 24/02/2020 11:52:11  |    exit  |            C |       true |          6.03  |
| 24/02/2020 11:53:27  |    exit  |            C |       true |           5.4  |
| 24/02/2020 11:53:43  |   entry  |            C |       true |          7.59  |
| 24/02/2020 11:54:32  |   entry  |            C |      false |          6.04  |
| 24/02/2020 11:55:54  |   entry  |            C |       true |          6.64  |
