,Date,Type,Turnstile,Success,Duration (s)
48,24/02/2020 00:00:81,entry,C,true,4.32
49,24/02/2020 00:00:82,entry,C,true,7.95
50,24/02/2020 00:00:83,entry,S,true,3.62
51,24/02/2020 00:00:84,exit,N,true,5.64
52,24/02/2020 00:00:85,entry,C,true,6.64
53,24/02/2020 00:00:86,entry,N,true,5.18
54,24/02/2020 00:00:87,entry,C,true,6.9
55,24/02/2020 00:00:88,entry,C,true,4.41
56,24/02/2020 00:00:89,entry,S,true,8.21
57,24/02/2020 00:00:90,entry,C,true,6.48
58,24/02/2020 00:00:91,entry,N,false,6.62
59,24/02/2020 00:00:92,entry,N,true,7.67
60,24/02/2020 00:00:93,entry,N,true,5.66
61,24/02/2020 00:00:94,entry,C,true,8.12
62,24/02/2020 00:00:95,entry,S,true,6.8
63,24/02/2020 00:00:96,entry,N,true,7.85
64,24/02/2020 00:00:97,entry,C,true,5.6
65,24/02/2020 00:00:98,entry,C,true,3.87
66,24/02/2020 00:00:99,entry,S,true,7.31
67,24/02/2020 00:00:100,entry,S,true,6.86
68,24/02/2020 00:00:101,entry,S,true,7.98
69,24/02/2020 00:00:102,entry,S,true,5.71
70,24/02/2020 00:00:103,entry,S,true,6.82
71,24/02/2020 00:00:104,entry,C,true,8.4
72,24/02/2020 00:00:105,entry,N,true,6.82
73,24/02/2020 00:00:106,entry,C,true,6.48
74,24/02/2020 00:00:107,entry,N,true,8.2
75,24/02/2020 00:00:108,entry,N,true,5.31
76,24/02/2020 00:00:109,entry,S,true,5.35
77,24/02/2020 00:00:110,entry,C,true,4.5
78,24/02/2020 00:00:111,entry,C,true,8.49
79,24/02/2020 00:00:112,entry,C,true,6.78
80,24/02/2020 00:00:113,entry,C,true,6.7
81,24/02/2020 00:00:114,entry,C,true,5.24
82,24/02/2020 00:00:115,entry,C,true,5.82
83,24/02/2020 00:00:116,entry,S,true,4.39
84,24/02/2020 00:00:117,entry,N,true,3.86
85,24/02/2020 00:00:118,entry,C,true,3.88
86,24/02/2020 00:00:119,entry,C,true,4.02
87,24/02/2020 00:00:120,entry,C,true,6.69
88,24/02/2020 00:00:121,entry,C,true,3.89
89,24/02/2020 00:00:122,entry,C,true,3.91
90,24/02/2020 00:00:123,entry,S,true,6.67
91,24/02/2020 00:00:124,entry,S,false,7.47
92,24/02/2020 00:00:125,entry,C,true,4.2
93,24/02/2020 00:00:126,entry,C,true,7.79
94,24/02/2020 00:00:127,entry,C,true,4.72
95,24/02/2020 00:00:128,entry,S,true,6.87
96,24/02/2020 00:00:129,exit,C,true,3.73
97,24/02/2020 00:00:130,entry,C,true,5.36
98,24/02/2020 00:00:131,entry,C,true,7.08
99,24/02/2020 00:00:132,exit,S,true,6.93
100,24/02/2020 00:00:133,entry,C,true,5.13
101,24/02/2020 00:00:134,entry,C,true,3.97
102,24/02/2020 00:00:135,entry,N,true,6.12
103,24/02/2020 00:00:136,entry,C,true,3.89
104,24/02/2020 00:00:137,entry,C,true,3.61
105,24/02/2020 00:00:138,entry,C,false,5.87
106,24/02/2020 00:00:139,entry,C,true,6.63
107,24/02/2020 00:00:140,entry,S,true,7.66
108,24/02/2020 00:00:141,entry,N,true,4
109,24/02/2020 00:00:142,entry,C,true,8.29
110,24/02/2020 00:00:143,entry,C,true,4.16
111,24/02/2020 00:00:144,entry,C,true,5.96
112,24/02/2020 00:00:145,entry,C,true,6.71
113,24/02/2020 00:00:146,entry,C,true,3.64
114,24/02/2020 00:00:147,exit,C,true,6.02
115,24/02/2020 00:00:148,entry,C,true,8.48
116,24/02/2020 00:00:149,entry,N,true,5.65
117,24/02/2020 00:00:150,entry,S,true,7.92
118,24/02/2020 00:00:151,entry,N,true,4.15
119,24/02/2020 00:00:152,entry,S,true,7.57
120,24/02/2020 00:00:153,entry,C,true,3.54
121,24/02/2020 00:00:154,entry,C,true,6.04
122,24/02/2020 00:00:155,entry,N,true,6.41
123,24/02/2020 00:00:156,entry,S,true,8.36
124,24/02/2020 00:00:157,entry,C,true,6.68
125,24/02/2020 00:00:158,exit,C,true,4.49
126,24/02/2020 00:00:159,entry,C,true,7.88
127,24/02/2020 00:00:160,entry,N,true,4.91
128,24/02/2020 00:00:161,entry,N,true,6.43
129,24/02/2020 00:00:162,entry,S,true,6.49
130,24/02/2020 00:00:163,entry,C,true,7.09
131,24/02/2020 00:00:164,entry,C,true,5.56
132,24/02/2020 00:00:165,entry,C,true,7.87
133,24/02/2020 00:00:166,entry,S,true,3.98
134,24/02/2020 00:00:167,entry,C,true,5.99
135,24/02/2020 00:00:168,entry,C,true,5.13
136,24/02/2020 00:00:169,entry,C,true,6.74
137,24/02/2020 00:00:170,exit,N,true,6.09
138,24/02/2020 00:00:171,entry,S,true,5.92
139,24/02/2020 00:00:172,entry,N,true,5.56
140,24/02/2020 00:00:173,entry,S,true,5.27
141,24/02/2020 00:00:174,entry,S,true,4.93
142,24/02/2020 00:00:175,entry,C,true,3.58
143,24/02/2020 00:00:176,entry,S,true,6.3
144,24/02/2020 00:00:177,entry,C,true,6.67
145,24/02/2020 00:00:178,entry,C,true,4.12
146,24/02/2020 00:00:179,entry,S,true,8.27
147,24/02/2020 00:00:180,entry,C,true,7.12
148,24/02/2020 00:00:181,entry,S,true,5.65
149,24/02/2020 00:00:182,entry,C,true,7.97
150,24/02/2020 00:00:183,exit,N,true,8.1
151,24/02/2020 00:00:184,exit,S,true,6.06
152,24/02/2020 00:00:185,entry,C,true,5.66
153,24/02/2020 00:00:186,entry,C,true,6.31
154,24/02/2020 00:00:187,entry,S,true,6.28
155,24/02/2020 00:00:188,entry,C,true,7.23
156,24/02/2020 00:00:189,entry,S,true,8.37
157,24/02/2020 00:00:190,entry,C,true,4.44
158,24/02/2020 00:00:191,entry,S,true,3.99
159,24/02/2020 00:00:192,exit,C,false,6
160,24/02/2020 00:00:193,entry,C,true,6.76
161,24/02/2020 00:00:194,exit,S,true,7.59
162,24/02/2020 00:00:195,entry,C,true,4.88
163,24/02/2020 00:00:196,entry,C,true,5.38
164,24/02/2020 00:00:197,entry,C,true,3.82
165,24/02/2020 00:00:198,entry,S,true,6.66
166,24/02/2020 00:00:199,entry,C,true,6.46
167,24/02/2020 00:00:200,entry,C,true,4.86
168,24/02/2020 00:00:201,entry,C,true,7.49
169,24/02/2020 00:00:202,entry,S,true,5.78
170,24/02/2020 00:00:203,exit,S,true,5.54
171,24/02/2020 00:00:204,entry,N,true,3.68
172,24/02/2020 00:00:205,entry,N,true,4.71
173,24/02/2020 00:00:206,entry,C,true,6.01
174,24/02/2020 00:00:207,entry,N,true,8.12
175,24/02/2020 00:00:208,entry,C,true,7.31
176,24/02/2020 00:00:209,entry,S,true,3.88
177,24/02/2020 00:00:210,exit,N,true,8.01
178,24/02/2020 00:00:211,exit,S,false,5.44
179,24/02/2020 00:00:212,exit,C,true,7.19
180,24/02/2020 00:00:213,entry,S,true,4.15
181,24/02/2020 00:00:214,entry,N,true,4.54
182,24/02/2020 00:00:215,entry,S,true,5.5
183,24/02/2020 00:00:216,entry,S,true,3.69
184,24/02/2020 00:00:217,entry,C,true,4.36
185,24/02/2020 00:00:218,entry,C,true,6.58
186,24/02/2020 00:00:219,entry,N,true,6.98
187,24/02/2020 00:00:220,entry,S,true,4.36
188,24/02/2020 00:00:221,entry,N,true,6.62
189,24/02/2020 00:00:222,entry,C,true,4.88
190,24/02/2020 00:00:223,entry,C,true,8.22
191,24/02/2020 00:00:224,exit,C,true,6.65
192,24/02/2020 00:00:225,entry,C,true,5.29
193,24/02/2020 00:00:226,entry,S,true,4.54
194,24/02/2020 00:00:227,exit,N,true,7.71
195,24/02/2020 00:00:228,exit,C,true,5.51
196,24/02/2020 00:00:229,entry,N,true,8.25
197,24/02/2020 00:00:230,entry,C,true,7.97
198,24/02/2020 00:00:231,entry,C,true,8.2
199,24/02/2020 00:00:232,entry,N,true,5.58
200,24/02/2020 00:00:233,entry,S,true,7.05
201,24/02/2020 00:00:234,entry,S,true,3.87
202,24/02/2020 00:00:235,entry,N,true,5.48
203,24/02/2020 00:00:236,entry,S,true,4.29
204,24/02/2020 00:00:237,entry,N,true,7.27
205,24/02/2020 00:00:238,entry,S,true,5.94
206,24/02/2020 00:00:239,entry,C,true,5.99
207,24/02/2020 00:00:240,exit,S,true,6.41
208,24/02/2020 00:00:241,exit,C,true,7.55
209,24/02/2020 00:00:242,entry,C,true,5.95
210,24/02/2020 00:00:243,entry,S,true,4.62
211,24/02/2020 00:00:244,entry,S,true,8.46
212,24/02/2020 00:00:245,entry,C,true,7.54
213,24/02/2020 00:00:246,entry,S,true,8.1
214,24/02/2020 00:00:247,entry,C,true,7.05
215,24/02/2020 00:00:248,entry,S,true,6.63
216,24/02/2020 00:00:249,exit,C,false,5.07
217,24/02/2020 00:00:250,exit,N,true,8.18
218,24/02/2020 00:00:251,entry,C,true,5.47
219,24/02/2020 00:00:252,entry,C,true,8.55
220,24/02/2020 00:00:253,exit,C,false,6.08
221,24/02/2020 00:00:254,entry,S,true,4.49
222,24/02/2020 00:00:255,entry,C,true,7.56
223,24/02/2020 00:00:256,entry,S,true,8.42
224,24/02/2020 00:00:257,entry,C,true,8.05
225,24/02/2020 00:00:258,entry,S,true,3.59
226,24/02/2020 00:00:259,entry,C,true,5.59
227,24/02/2020 00:00:260,entry,C,true,6.64
228,24/02/2020 00:00:261,exit,C,true,6.18
229,24/02/2020 00:00:262,entry,C,true,4.89
230,24/02/2020 00:00:263,entry,C,true,3.85
231,24/02/2020 00:00:264,entry,C,true,8.42
232,24/02/2020 00:00:265,entry,C,true,4.39
233,24/02/2020 00:00:266,entry,C,true,6.89
234,24/02/2020 00:00:267,exit,C,true,8.31
235,24/02/2020 00:00:268,entry,S,true,7.26
236,24/02/2020 00:00:269,entry,C,true,6.49
237,24/02/2020 00:00:270,entry,C,true,4.88
238,24/02/2020 00:00:271,entry,C,true,4.84
239,24/02/2020 00:00:272,exit,C,true,6.86
240,24/02/2020 00:00:273,entry,N,true,8.26
241,24/02/2020 00:00:274,entry,S,true,3.63
242,24/02/2020 00:00:275,entry,S,true,5.73
243,24/02/2020 00:00:276,exit,C,true,6.45
244,24/02/2020 00:00:277,exit,S,true,5.92
245,24/02/2020 00:00:278,entry,C,true,3.66
246,24/02/2020 00:00:279,entry,S,true,3.94
247,24/02/2020 00:00:280,entry,S,true,6.25
248,24/02/2020 00:00:281,entry,C,true,7.65
249,24/02/2020 00:00:282,entry,S,true,7.03
250,24/02/2020 00:00:283,exit,S,false,7.23
251,24/02/2020 00:00:284,exit,C,false,3.83
252,24/02/2020 00:00:285,entry,C,true,7.27
253,24/02/2020 00:00:286,entry,C,true,4.32
254,24/02/2020 00:00:287,entry,C,true,4.05
255,24/02/2020 00:00:288,entry,C,true,6.41
256,24/02/2020 00:00:289,exit,S,true,7.95
257,24/02/2020 00:00:290,entry,S,true,4.59
258,24/02/2020 00:00:291,exit,S,true,7.63
259,24/02/2020 00:00:292,entry,S,true,3.62
260,24/02/2020 00:00:293,exit,S,true,6.92
261,24/02/2020 00:00:294,exit,S,true,4.43
262,24/02/2020 00:00:295,entry,C,true,8.51
263,24/02/2020 00:00:296,entry,S,true,3.73
264,24/02/2020 00:00:297,entry,C,true,5.29
265,24/02/2020 00:00:298,exit,C,true,7.49
266,24/02/2020 00:00:299,entry,S,true,8.17
267,24/02/2020 00:00:300,exit,C,true,5.67
268,24/02/2020 00:00:301,entry,S,true,4.82
269,24/02/2020 00:00:302,exit,C,true,8.52
270,24/02/2020 00:00:303,exit,S,true,4.33
271,24/02/2020 00:00:304,entry,S,true,6.61
272,24/02/2020 00:00:305,exit,N,true,6.36
273,24/02/2020 00:00:306,exit,N,true,6.99
274,24/02/2020 00:00:307,entry,C,true,8.48
275,24/02/2020 00:00:308,entry,S,true,6.29
276,24/02/2020 00:00:309,entry,S,true,5.65
277,24/02/2020 00:00:310,entry,S,true,4.01
278,24/02/2020 00:00:311,exit,C,true,6.37
279,24/02/2020 00:00:312,entry,C,false,7.77
280,24/02/2020 00:00:313,entry,S,true,4.43
281,24/02/2020 00:00:314,entry,N,true,3.67
282,24/02/2020 00:00:315,entry,C,true,6.02
283,24/02/2020 00:00:316,exit,C,true,7.8
284,24/02/2020 00:00:317,entry,C,true,6.03
285,24/02/2020 00:00:318,exit,N,true,7.89
286,24/02/2020 00:00:319,exit,C,true,7.94
287,24/02/2020 00:00:320,entry,N,true,5.95
288,24/02/2020 00:00:321,exit,S,true,6.72
289,24/02/2020 00:00:322,entry,C,true,7.61
290,24/02/2020 00:00:323,exit,C,true,6.06
291,24/02/2020 00:00:324,exit,C,true,4.62
292,24/02/2020 00:00:325,exit,C,true,7.06
293,24/02/2020 00:00:326,entry,C,true,4.08
294,24/02/2020 00:00:327,exit,N,true,6.25
295,24/02/2020 00:00:328,exit,C,true,4.15
296,24/02/2020 00:00:329,entry,S,true,6.88
297,24/02/2020 00:00:330,exit,S,true,5.86
298,24/02/2020 00:00:331,exit,S,true,8.02
299,24/02/2020 00:00:332,exit,C,true,4.7
300,24/02/2020 00:00:333,entry,C,true,4.89
301,24/02/2020 00:00:334,entry,S,true,6.76
302,24/02/2020 00:00:335,entry,C,true,4.41
303,24/02/2020 00:00:336,entry,C,true,3.52
304,24/02/2020 00:00:337,exit,C,true,5.49
305,24/02/2020 00:00:338,entry,S,true,6.04
306,24/02/2020 00:00:339,entry,S,true,5.77
307,24/02/2020 00:00:340,entry,C,true,5.08
308,24/02/2020 00:00:341,entry,C,true,8.46
309,24/02/2020 00:00:342,exit,S,true,4.98
310,24/02/2020 00:00:343,entry,C,true,8.1
311,24/02/2020 00:00:344,entry,C,true,4.37
312,24/02/2020 00:00:345,exit,S,true,4.66
313,24/02/2020 00:00:346,entry,N,true,3.6
314,24/02/2020 00:00:347,exit,S,true,6.81
315,24/02/2020 00:00:348,exit,S,true,7.59
316,24/02/2020 00:00:349,entry,S,true,8.53
317,24/02/2020 00:00:350,exit,C,true,3.85
318,24/02/2020 00:00:351,exit,C,true,4.49
319,24/02/2020 00:00:352,entry,C,true,4.28
320,24/02/2020 00:00:353,exit,C,true,7.67
321,24/02/2020 00:00:354,entry,C,true,6.4
322,24/02/2020 00:00:355,entry,C,true,7.57
323,24/02/2020 00:00:356,exit,C,true,4.17
324,24/02/2020 00:00:357,exit,N,true,6.18
325,24/02/2020 00:00:358,entry,S,true,5.15
326,24/02/2020 00:00:359,exit,S,true,4.5
327,24/02/2020 00:00:360,entry,S,true,5.17
328,24/02/2020 00:00:361,entry,C,true,6.27
329,24/02/2020 00:00:362,entry,N,true,4.92
330,24/02/2020 00:00:363,entry,S,true,8.29
331,24/02/2020 00:00:364,exit,N,true,5.49
332,24/02/2020 00:00:365,entry,S,true,6.63
333,24/02/2020 00:00:366,exit,N,true,3.63
334,24/02/2020 00:00:367,exit,C,false,5.88
335,24/02/2020 00:00:368,exit,C,true,4.07
336,24/02/2020 00:00:369,entry,C,true,4.4
337,24/02/2020 00:00:370,exit,S,true,6
338,24/02/2020 00:00:371,entry,N,true,5.61
339,24/02/2020 00:00:372,entry,C,true,8.52
340,24/02/2020 00:00:373,exit,N,true,4.6
341,24/02/2020 00:00:374,entry,N,true,6.58
342,24/02/2020 00:00:375,exit,N,true,6.04
343,24/02/2020 00:00:376,exit,C,true,3.69
344,24/02/2020 00:00:377,exit,S,false,5.1
345,24/02/2020 00:00:378,exit,S,true,6.58
346,24/02/2020 00:00:379,exit,N,true,8.09
347,24/02/2020 00:00:380,entry,S,true,5.16
348,24/02/2020 00:00:381,entry,C,true,7.76
349,24/02/2020 00:00:382,entry,S,true,6.15
350,24/02/2020 00:00:383,exit,C,true,7.32
351,24/02/2020 00:00:384,exit,C,true,7.77
352,24/02/2020 00:00:385,exit,S,false,5.67
353,24/02/2020 00:00:386,exit,S,true,7.26
354,24/02/2020 00:00:387,exit,C,true,7.01
355,24/02/2020 00:00:388,exit,N,true,5.45
356,24/02/2020 00:00:389,entry,N,true,4.23
357,24/02/2020 00:00:390,exit,C,true,6.7
358,24/02/2020 00:00:391,exit,C,true,3.68
359,24/02/2020 00:00:392,exit,C,true,7.72
360,24/02/2020 00:00:393,exit,S,true,5.21
361,24/02/2020 00:00:394,entry,N,true,5.26
362,24/02/2020 00:00:395,exit,C,true,5.77
363,24/02/2020 00:00:396,entry,S,true,3.96
364,24/02/2020 00:00:397,exit,C,true,8.01
365,24/02/2020 00:00:398,exit,S,true,3.85
366,24/02/2020 00:00:399,exit,S,true,5.91
367,24/02/2020 00:00:400,exit,N,true,8.36
368,24/02/2020 00:00:401,entry,C,true,3.87
369,24/02/2020 00:00:402,exit,S,true,3.57
370,24/02/2020 00:00:403,exit,N,true,4.57
371,24/02/2020 00:00:404,exit,C,true,7.18
372,24/02/2020 00:00:405,exit,N,true,3.92
373,24/02/2020 00:00:406,exit,C,true,7.33
374,24/02/2020 00:00:407,exit,C,true,8.12
375,24/02/2020 00:00:408,exit,C,true,4.72
376,24/02/2020 00:00:409,entry,N,true,5.22
377,24/02/2020 00:00:410,exit,C,true,4.55
378,24/02/2020 00:00:411,exit,C,true,8.17
379,24/02/2020 00:00:412,exit,C,true,7.18
380,24/02/2020 00:00:413,exit,C,true,6.03
381,24/02/2020 00:00:414,exit,C,true,5.4
382,24/02/2020 00:00:415,entry,C,true,7.59
383,24/02/2020 00:00:416,entry,C,false,6.04
384,24/02/2020 00:00:417,entry,C,true,6.64
385,24/02/2020 00:00:418,exit,C,true,5.51
386,24/02/2020 00:00:419,exit,C,true,6.07
387,24/02/2020 00:00:420,entry,S,true,6.62
388,24/02/2020 00:00:421,entry,N,true,7.59
389,24/02/2020 00:00:422,exit,C,true,6.43
390,24/02/2020 00:00:423,exit,C,true,8.42
391,24/02/2020 00:00:424,entry,S,true,6.69
392,24/02/2020 00:00:425,entry,N,true,6.39
393,24/02/2020 00:00:426,exit,N,true,3.63
394,24/02/2020 00:00:427,entry,S,true,7.46
395,24/02/2020 00:00:428,entry,S,false,5.01
396,24/02/2020 00:00:429,entry,S,true,3.74
397,24/02/2020 00:00:430,entry,C,true,6.53
398,24/02/2020 00:00:431,exit,C,true,6.22
399,24/02/2020 00:00:432,entry,N,true,4.2
400,24/02/2020 00:00:433,exit,N,true,4.94
401,24/02/2020 00:00:434,entry,N,true,6.34
402,24/02/2020 00:00:435,exit,S,true,8.45
403,24/02/2020 00:00:436,entry,C,true,7
404,24/02/2020 00:00:437,entry,N,true,7.41
405,24/02/2020 00:00:438,exit,N,true,8.17
406,24/02/2020 00:00:439,entry,C,true,4.3
407,24/02/2020 00:00:440,exit,C,true,6.76
408,24/02/2020 00:00:441,exit,S,true,6.25
409,24/02/2020 00:00:442,entry,C,true,4.04
410,24/02/2020 00:00:443,exit,N,true,4.74
411,24/02/2020 00:00:444,entry,S,true,4.62
412,24/02/2020 00:00:445,exit,C,true,3.86
413,24/02/2020 00:00:446,exit,C,true,8.29
414,24/02/2020 00:00:447,entry,N,true,4.39
415,24/02/2020 00:00:448,entry,C,true,8.01
416,24/02/2020 00:00:449,entry,C,true,8.35
417,24/02/2020 00:00:450,entry,S,true,5.64
418,24/02/2020 00:00:451,entry,N,true,8.27
419,24/02/2020 00:00:452,exit,N,true,7.2
420,24/02/2020 00:00:453,exit,S,true,5.29
421,24/02/2020 00:00:454,exit,C,true,5
422,24/02/2020 00:00:455,exit,S,true,6.38
423,24/02/2020 00:00:456,entry,N,true,5.35
424,24/02/2020 00:00:457,entry,C,true,4.43
425,24/02/2020 00:00:458,entry,C,true,7.23
426,24/02/2020 00:00:459,exit,N,true,6.79
427,24/02/2020 00:00:460,entry,C,true,7.45
428,24/02/2020 00:00:461,entry,C,true,4.47
429,24/02/2020 00:00:462,exit,S,true,6.13
430,24/02/2020 00:00:463,exit,C,true,7.31
431,24/02/2020 00:00:464,exit,S,true,6.08
432,24/02/2020 00:00:465,exit,C,true,5.79
433,24/02/2020 00:00:466,entry,C,true,4.16
434,24/02/2020 00:00:467,exit,C,false,8.18
435,24/02/2020 00:00:468,entry,C,true,4.59
436,24/02/2020 00:00:469,exit,C,true,4.68
437,24/02/2020 00:00:470,exit,C,true,8.48
438,24/02/2020 00:00:471,entry,N,true,4.67
439,24/02/2020 00:00:472,entry,S,false,4.35
440,24/02/2020 00:00:473,entry,C,true,6.47
441,24/02/2020 00:00:474,entry,S,true,6.22
442,24/02/2020 00:00:475,exit,C,true,6.85
443,24/02/2020 00:00:476,exit,S,true,8.49
444,24/02/2020 00:00:477,entry,C,true,6.71
445,24/02/2020 00:00:478,entry,C,true,6.48
446,24/02/2020 00:00:479,exit,S,true,5.63
447,24/02/2020 00:00:480,exit,S,true,4.18
448,24/02/2020 00:00:481,exit,C,true,3.93
449,24/02/2020 00:00:482,entry,C,true,4.75
450,24/02/2020 00:00:483,exit,C,true,5.99
451,24/02/2020 00:00:484,exit,C,true,7.28
452,24/02/2020 00:00:485,exit,N,true,4.56
453,24/02/2020 00:00:486,entry,C,true,7.66
454,24/02/2020 00:00:487,entry,C,true,5.4
455,24/02/2020 00:00:488,entry,C,true,3.53
456,24/02/2020 00:00:489,exit,S,true,5.06
457,24/02/2020 00:00:490,exit,S,true,6.72
458,24/02/2020 00:00:491,entry,C,true,4.22
459,24/02/2020 00:00:492,exit,C,true,7.51
460,24/02/2020 00:00:493,exit,S,true,4.18
461,24/02/2020 00:00:494,entry,C,true,4.07
462,24/02/2020 00:00:495,entry,S,true,5.83
463,24/02/2020 00:00:496,exit,N,true,4.9
464,24/02/2020 00:00:497,entry,S,true,4.52
465,24/02/2020 00:00:498,exit,S,true,6.25
466,24/02/2020 00:00:499,entry,C,true,8.3
467,24/02/2020 00:00:500,exit,C,false,5.99
468,24/02/2020 00:00:501,exit,C,true,5.5
469,24/02/2020 00:00:502,exit,C,true,5.5
470,24/02/2020 00:00:503,entry,C,true,4.95
471,24/02/2020 00:00:504,entry,N,true,7.17
472,24/02/2020 00:00:505,exit,S,true,5.05
473,24/02/2020 00:00:506,exit,C,true,5.28
474,24/02/2020 00:00:507,exit,C,true,4.74
475,24/02/2020 00:00:508,exit,N,true,7.82
476,24/02/2020 00:00:509,entry,C,true,5.17
477,24/02/2020 00:00:510,exit,N,true,6.48
478,24/02/2020 00:00:511,exit,N,true,5.3
479,24/02/2020 00:00:512,entry,C,true,6.79
480,24/02/2020 00:00:513,exit,S,true,7.53
481,24/02/2020 00:00:514,exit,N,false,7.84
482,24/02/2020 00:00:515,entry,C,true,8.07
483,24/02/2020 00:00:516,exit,N,true,5.4
484,24/02/2020 00:00:517,exit,N,true,6.18
485,24/02/2020 00:00:518,exit,C,true,8.53
486,24/02/2020 00:00:519,entry,C,true,6.26
487,24/02/2020 00:00:520,entry,C,true,4.58
488,24/02/2020 00:00:521,exit,C,true,5.88
489,24/02/2020 00:00:522,exit,S,true,7.39
490,24/02/2020 00:00:523,entry,C,true,4.14
491,24/02/2020 00:00:524,entry,C,true,5.78
492,24/02/2020 00:00:525,entry,S,true,7.07
493,24/02/2020 00:00:526,entry,S,true,8.37
494,24/02/2020 00:00:527,exit,C,true,4.18
495,24/02/2020 00:00:528,exit,C,true,7.54
496,24/02/2020 00:00:529,entry,S,true,7.69
497,24/02/2020 00:00:530,entry,C,true,6.53
498,24/02/2020 00:00:531,entry,C,false,7.23
499,24/02/2020 00:00:532,exit,S,true,5.92
500,24/02/2020 00:00:533,entry,S,true,5.45
501,24/02/2020 00:00:534,entry,C,true,4.7
502,24/02/2020 00:00:535,exit,S,true,8.1
503,24/02/2020 00:00:536,entry,N,true,8.13
504,24/02/2020 00:00:537,entry,S,true,3.76
505,24/02/2020 00:00:538,exit,N,true,6.66
506,24/02/2020 00:00:539,exit,C,true,7.03
507,24/02/2020 00:00:540,exit,C,true,8.13
508,24/02/2020 00:00:541,exit,C,true,6.67
509,24/02/2020 00:00:542,entry,S,true,6.25
510,24/02/2020 00:00:543,exit,C,true,4.44
511,24/02/2020 00:00:544,entry,N,true,4.49
512,24/02/2020 00:00:545,exit,N,true,6.6
513,24/02/2020 00:00:546,exit,C,true,7.37
514,24/02/2020 00:00:547,exit,S,true,5.77
515,24/02/2020 00:00:548,entry,S,true,3.53
516,24/02/2020 00:00:549,entry,S,true,4.78
517,24/02/2020 00:00:550,exit,C,true,7.84
518,24/02/2020 00:00:551,entry,N,true,8.19
519,24/02/2020 00:00:552,exit,C,true,7.84
520,24/02/2020 00:00:553,entry,S,true,7.88
521,24/02/2020 00:00:554,entry,C,true,4.6
522,24/02/2020 00:00:555,exit,C,true,5.42
523,24/02/2020 00:00:556,entry,C,true,4.49
524,24/02/2020 00:00:557,exit,C,true,7.68
525,24/02/2020 00:00:558,entry,C,true,6.71
526,24/02/2020 00:00:559,exit,S,true,4.79
527,24/02/2020 00:00:560,exit,C,true,8.26
528,24/02/2020 00:00:561,exit,C,true,7.29
529,24/02/2020 00:00:562,entry,C,true,5.91
530,24/02/2020 00:00:563,exit,S,true,7.51
531,24/02/2020 00:00:564,entry,C,true,5.19
532,24/02/2020 00:00:565,exit,S,true,5.7
533,24/02/2020 00:00:566,exit,C,true,5.8
534,24/02/2020 00:00:567,entry,S,true,7.69
535,24/02/2020 00:00:568,exit,C,true,6.01
536,24/02/2020 00:00:569,exit,S,true,7.34
537,24/02/2020 00:00:570,exit,N,true,8.13
